"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 16 40 17 40 12 13 12 15
"2" 4 31 40 19 11 18 38 21
"3" 32 34 26 31 7 15 31 40
"4" 37 27 39 29 19 28 27 3
"5" 12 3 10 38 18 26 39 28
"6" 5 24 2 10 24 37 30 11
"7" 41 17 1 20 14 22 32 26
"8" 35 26 11 13 10 31 5 35
"9" 17 2 27 21 30 30 4 6
"10" 8 15 6 16 34 16 9 39
"11" 36 7 3 33 22 17 15 9
"12" 14 29 4 8 2 7 23 32
"13" 38 1 21 17 4 12 25 18
"14" 26 18 41 9 29 25 16 41
"15" 29 32 7 35 31 9 36 12
"16" 15 21 31 4 35 14 33 4
"17" 3 10 32 26 8 34 14 31
"18" 7 35 12 25 28 24 20 1
"19" 22 39 35 15 5 35 22 10
"20" 28 4 36 24 23 5 34 34
"21" 18 8 23 5 13 39 28 38
"22" 21 13 13 30 26 11 1 30
"23" 34 14 29 14 27 40 40 14
"24" 6 25 28 36 20 3 18 37
"25" 27 11 15 7 6 20 11 2
"26" 19 19 9 23 9 1 17 5
"27" 20 38 14 22 40 29 37 36
"28" 10 6 38 11 15 8 7 13
"29" 25 36 5 27 16 41 8 19
"30" 11 41 25 12 32 21 26 29
"31" 31 5 8 3 38 33 19 22
"32" 24 23 18 1 17 2 41 24
"33" 30 20 30 37 1 23 3 23
"34" 33 30 24 18 39 4 6 8
"35" 13 28 37 32 36 38 10 25
"36" 2 9 16 28 37 6 29 20
"37" 23 12 34 41 41 19 24 16
"38" 1 33 20 2 21 27 2 17
"39" 9 16 22 34 3 32 35 7
"40" 40 22 19 39 33 36 21 33
"41" 39 37 33 6 25 10 13 27
