"V1" "V2" "V3" "V4" "V5"
"1" 20 5 37 29 4
"2" 47 40 14 38 32
"3" 41 36 36 42 2
"4" 32 39 42 2 7
"5" 36 46 5 26 5
"6" 48 12 47 24 10
"7" 29 7 1 14 12
"8" 4 30 35 27 48
"9" 10 33 19 39 6
"10" 23 22 4 3 42
"11" 25 1 32 45 24
"12" 33 31 3 49 27
"13" 17 3 40 9 45
"14" 28 26 15 28 33
"15" 9 47 33 5 34
"16" 38 10 8 41 47
"17" 12 15 6 31 21
"18" 43 42 21 12 49
"19" 18 23 10 43 13
"20" 16 45 28 36 11
"21" 50 24 29 35 43
"22" 46 9 27 4 22
"23" 15 35 12 16 46
"24" 6 11 13 6 3
"25" 14 41 45 19 14
"26" 45 48 41 30 26
"27" 2 8 44 40 30
"28" 31 16 49 37 19
"29" 13 13 24 50 36
"30" 1 44 9 21 23
"31" 39 34 31 22 20
"32" 44 18 17 47 8
"33" 42 2 11 20 35
"34" 49 29 7 8 16
"35" 3 20 30 11 9
"36" 27 19 43 32 50
"37" 11 25 50 13 25
"38" 35 4 22 33 15
"39" 24 27 25 17 1
"40" 30 49 26 44 44
"41" 21 37 23 23 29
"42" 7 28 39 48 17
"43" 8 6 18 25 41
"44" 34 14 34 18 39
"45" 19 17 20 1 28
"46" 26 50 16 10 18
"47" 40 21 38 15 31
"48" 5 38 2 34 38
"49" 37 32 46 7 37
"50" 22 43 48 46 40
