"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 36 51 53 37 79 99 27 100 68 71
"2" 43 18 31 63 23 11 87 26 34 4
"3" 76 59 6 24 72 79 98 33 80 62
"4" 17 64 36 56 34 40 100 54 67 28
"5" 16 28 18 32 7 71 51 42 97 80
"6" 5 22 61 21 3 54 91 30 61 52
"7" 58 24 97 74 38 77 28 60 98 23
"8" 7 75 15 58 90 90 78 61 31 83
"9" 52 91 43 53 99 78 5 23 24 29
"10" 35 89 20 13 11 55 72 92 23 25
"11" 71 3 16 81 66 41 25 31 48 86
"12" 90 31 37 89 78 34 90 44 16 91
"13" 93 12 80 26 69 69 18 90 19 27
"14" 13 58 81 77 30 36 79 22 89 69
"15" 95 9 21 70 49 75 93 52 71 76
"16" 39 6 94 55 17 42 46 98 79 63
"17" 42 96 98 29 87 64 57 37 43 75
"18" 91 15 74 38 25 7 70 47 93 50
"19" 69 23 66 31 62 21 73 96 57 97
"20" 81 95 62 96 41 45 22 80 14 72
"21" 89 92 17 35 93 37 55 76 72 8
"22" 3 79 49 10 70 44 35 59 94 94
"23" 84 84 10 43 68 15 82 16 5 41
"24" 44 67 60 47 28 72 88 77 3 95
"25" 37 86 22 39 58 30 40 1 58 61
"26" 50 70 87 25 6 16 77 63 74 11
"27" 87 35 14 30 29 50 34 21 10 12
"28" 11 16 57 86 26 84 19 91 50 88
"29" 20 50 96 14 63 9 43 14 70 24
"30" 70 71 26 76 32 80 50 97 8 51
"31" 26 100 58 2 55 33 20 48 49 33
"32" 99 72 76 54 47 19 47 29 40 100
"33" 28 36 100 40 45 96 83 49 15 45
"34" 19 34 68 94 71 81 71 10 37 73
"35" 56 74 38 8 46 47 7 95 56 2
"36" 15 81 77 69 8 87 41 32 11 18
"37" 75 66 99 51 77 35 1 85 45 48
"38" 78 2 65 11 43 29 60 34 30 20
"39" 92 98 55 22 15 85 38 57 36 65
"40" 23 73 30 98 44 94 10 27 73 49
"41" 45 25 33 78 64 98 44 72 26 10
"42" 27 5 39 36 39 66 54 15 21 99
"43" 14 61 29 23 95 25 33 88 7 44
"44" 61 40 11 100 54 60 76 99 46 19
"45" 74 94 90 83 40 70 92 13 51 9
"46" 46 26 72 20 92 39 8 18 75 84
"47" 65 78 93 34 31 2 26 43 27 38
"48" 41 37 4 28 51 83 3 68 90 37
"49" 68 63 54 72 96 43 69 3 20 17
"50" 49 88 64 59 53 97 59 4 92 89
"51" 77 38 59 99 88 14 53 24 81 46
"52" 60 90 85 71 73 12 14 71 65 81
"53" 98 77 71 88 60 91 67 69 63 30
"54" 1 1 84 60 74 52 49 64 35 39
"55" 4 44 46 75 59 59 2 36 1 64
"56" 33 41 56 45 65 31 97 41 100 1
"57" 64 20 2 41 85 57 42 83 29 79
"58" 47 97 3 82 27 23 48 35 85 26
"59" 57 11 25 49 100 1 63 56 62 68
"60" 8 85 67 42 21 62 24 81 82 14
"61" 30 46 13 73 42 8 85 86 76 92
"62" 31 10 50 97 16 38 64 58 4 34
"63" 54 43 12 1 20 100 61 46 53 47
"64" 29 68 7 90 81 65 29 45 39 5
"65" 86 62 83 15 36 88 65 87 86 85
"66" 12 48 75 33 98 76 89 74 52 21
"67" 96 52 24 85 19 18 15 62 33 22
"68" 10 21 19 68 76 20 21 9 87 31
"69" 73 33 32 5 9 28 30 78 84 74
"70" 25 83 73 80 82 17 94 94 28 60
"71" 82 42 95 67 10 61 75 19 25 82
"72" 59 76 48 27 18 26 95 8 47 87
"73" 18 8 9 16 35 13 12 75 42 58
"74" 40 65 42 92 4 3 31 17 54 77
"75" 34 54 92 95 97 56 39 53 83 98
"76" 72 55 69 18 75 82 52 55 2 3
"77" 94 69 34 46 84 53 17 12 99 67
"78" 85 19 88 64 94 95 32 38 55 59
"79" 80 27 41 52 5 93 96 84 41 32
"80" 38 29 63 57 86 6 11 51 12 13
"81" 100 30 44 17 33 63 45 2 66 43
"82" 6 32 89 91 48 27 58 82 59 6
"83" 32 60 86 4 22 74 16 7 32 56
"84" 63 80 79 6 80 58 86 28 88 35
"85" 48 17 91 7 56 48 99 70 9 70
"86" 51 4 47 84 91 67 81 79 91 42
"87" 2 53 1 50 37 46 66 5 44 36
"88" 83 57 45 62 57 4 37 93 95 16
"89" 55 14 82 87 52 24 36 6 6 54
"90" 66 87 28 93 14 51 84 65 96 57
"91" 9 93 35 19 50 5 68 39 18 78
"92" 88 47 70 79 2 49 4 40 69 40
"93" 24 13 27 9 83 86 74 20 64 15
"94" 67 7 52 48 12 89 13 11 78 7
"95" 22 39 78 44 13 22 6 66 22 90
"96" 62 49 23 12 61 92 23 25 13 93
"97" 53 56 5 65 1 32 56 73 17 66
"98" 97 45 51 3 89 10 80 67 38 55
"99" 21 99 40 66 67 73 62 89 77 53
"100" 79 82 8 61 24 68 9 50 60 96
