"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 64 8 119 61 120 120 92 74 8 27 87 19
"2" 116 59 55 8 95 51 21 119 20 57 91 53
"3" 23 14 1 83 37 30 113 65 114 4 12 17
"4" 108 22 87 70 64 116 16 50 23 22 15 33
"5" 85 51 26 96 35 76 1 111 55 106 65 16
"6" 25 46 25 28 109 68 28 78 2 34 77 61
"7" 17 12 32 58 6 37 19 46 37 11 56 76
"8" 118 42 120 31 67 42 36 18 51 98 115 85
"9" 9 111 29 36 22 82 108 72 21 96 37 42
"10" 101 110 96 98 105 97 29 20 39 76 94 78
"11" 41 109 72 12 108 32 82 89 112 73 22 35
"12" 50 80 113 79 65 26 42 117 86 61 38 13
"13" 6 58 23 5 44 108 47 21 73 25 27 83
"14" 54 30 31 89 20 17 73 3 108 95 82 32
"15" 61 89 9 10 66 40 72 80 38 91 9 117
"16" 42 82 20 43 54 13 20 43 102 103 99 112
"17" 7 2 106 76 93 11 9 103 36 41 114 37
"18" 38 4 73 15 71 111 116 54 44 108 81 54
"19" 70 79 43 55 63 80 79 12 85 42 118 56
"20" 109 77 33 19 38 61 60 63 42 62 17 67
"21" 19 54 6 33 92 56 87 96 68 87 93 29
"22" 73 31 79 7 79 71 66 45 103 36 59 9
"23" 39 25 12 46 31 8 37 105 11 64 62 7
"24" 97 75 65 6 16 12 103 94 53 113 86 104
"25" 58 88 105 59 34 52 99 39 76 111 63 36
"26" 27 119 35 109 69 73 104 49 34 63 98 108
"27" 10 21 81 22 117 22 74 38 61 54 1 71
"28" 29 5 52 18 15 57 34 110 120 21 35 114
"29" 20 107 111 118 99 39 59 41 12 20 64 99
"30" 48 65 74 111 52 86 17 106 101 28 73 70
"31" 2 36 58 112 40 2 26 59 28 112 96 10
"32" 99 90 116 21 101 74 10 82 84 8 58 65
"33" 95 19 44 103 72 6 63 116 111 12 109 95
"34" 30 34 102 13 81 20 15 8 80 67 85 90
"35" 100 1 47 45 12 103 84 42 63 31 23 12
"36" 91 38 39 17 56 27 119 35 66 19 74 40
"37" 18 81 82 34 2 106 62 115 24 117 47 89
"38" 16 23 98 105 55 78 91 120 70 104 16 118
"39" 3 114 117 95 80 14 95 10 56 35 18 52
"40" 115 28 18 116 3 81 46 84 47 38 102 34
"41" 44 50 41 24 7 84 94 26 117 77 67 94
"42" 52 11 91 4 46 72 5 99 13 79 120 82
"43" 45 16 88 93 90 35 49 64 96 116 69 63
"44" 83 100 30 16 88 102 51 104 78 82 105 106
"45" 67 61 85 26 86 16 85 52 5 6 101 100
"46" 105 7 36 108 100 15 40 79 77 100 43 55
"47" 62 71 50 115 62 115 112 37 14 86 57 66
"48" 117 116 71 73 32 23 88 77 99 23 119 119
"49" 110 97 83 102 24 29 8 31 46 89 45 96
"50" 93 78 10 106 118 104 6 40 113 60 80 48
"51" 56 6 11 80 58 95 58 28 54 51 90 97
"52" 102 72 84 57 8 41 57 98 107 33 97 28
"53" 55 98 78 32 4 7 2 70 74 49 14 59
"54" 65 29 70 88 107 83 14 60 50 58 39 113
"55" 84 113 93 37 61 55 25 55 110 39 28 93
"56" 119 53 68 110 91 112 71 27 87 3 34 26
"57" 5 93 86 50 60 66 64 76 49 80 75 15
"58" 88 94 54 78 97 87 86 48 106 107 13 84
"59" 14 26 112 48 36 105 106 30 105 59 104 62
"60" 104 45 77 77 39 64 43 7 62 5 61 107
"61" 35 9 21 113 76 65 100 15 100 81 8 44
"62" 36 87 2 54 89 113 3 13 30 37 50 120
"63" 33 115 45 84 119 48 56 101 64 97 54 68
"64" 103 40 4 94 53 91 80 56 4 74 48 38
"65" 8 85 64 72 84 77 39 34 115 92 88 73
"66" 21 18 60 40 68 90 53 93 82 45 44 41
"67" 15 102 40 104 25 53 50 53 89 47 84 4
"68" 63 112 49 52 43 21 13 92 41 2 89 45
"69" 72 62 3 119 77 24 24 97 60 119 24 75
"70" 90 67 107 44 75 79 48 66 27 17 83 115
"71" 106 33 8 53 13 67 115 69 88 118 113 91
"72" 1 96 13 1 112 93 102 58 98 1 52 102
"73" 11 41 94 87 23 114 78 90 79 13 92 74
"74" 24 68 89 64 102 5 118 24 90 84 25 110
"75" 37 66 53 39 29 31 67 57 57 72 110 79
"76" 22 91 76 120 11 119 22 1 65 71 112 39
"77" 120 105 108 90 9 89 120 112 1 68 2 72
"78" 26 63 118 9 27 101 12 62 109 101 41 30
"79" 46 108 5 20 17 88 41 36 18 9 116 25
"80" 13 73 42 86 73 58 11 6 6 109 29 23
"81" 43 35 28 65 82 98 68 113 48 7 11 58
"82" 31 60 92 74 14 75 89 17 40 55 55 20
"83" 68 118 19 30 41 117 90 118 95 56 60 77
"84" 94 27 75 56 87 54 101 91 10 93 33 80
"85" 59 86 59 101 19 69 75 100 29 18 26 47
"86" 76 55 57 99 1 34 109 19 81 40 78 116
"87" 113 15 51 38 115 100 76 11 16 102 72 111
