"V1" "V2" "V3"
"1" 25 27 5
"2" 9 9 16
"3" 33 16 28
"4" 32 24 10
"5" 2 12 13
"6" 22 11 24
"7" 29 7 7
"8" 12 15 21
"9" 4 34 8
"10" 19 33 15
"11" 5 22 25
"12" 24 5 22
"13" 20 3 4
"14" 1 26 23
"15" 26 13 35
"16" 7 1 18
"17" 30 21 14
"18" 18 19 30
"19" 35 10 2
"20" 14 30 1
"21" 17 14 9
"22" 13 4 11
"23" 23 29 12
"24" 31 2 31
"25" 21 23 32
"26" 10 20 6
"27" 27 18 17
"28" 8 28 29
"29" 16 25 19
"30" 28 35 26
"31" 3 6 33
"32" 11 32 34
"33" 6 17 3
"34" 15 8 27
"35" 34 31 20
